Stock,Date,Signal,RSI,MACD,Signal_Line
WIPRO.NS,2025-06-29,⏳ Hold / No clear signal,60.35,4.49,3.82
WIPRO.NS,2025-06-29,⏳ Hold / No clear signal,60.35,4.49,3.82
WIPRO.NS,2025-06-29,⏳ Hold / No clear signal,60.35,4.49,3.82
WIPRO.NS,2025-06-29,⏳ Hold / No clear signal,60.35,4.49,3.82
WIPRO.NS,2025-06-29,⏳ Hold / No clear signal,60.35,4.49,3.82
TCS.NS,2025-06-29,⏳ Hold / No clear signal,50.16,-3.53,-2.91
RELIANCE.NS,2025-06-29,⏳ Hold / No clear signal,71.6,21.2,16.6
WIPRO.NS,2025-06-29,⏳ Hold / No clear signal,60.35,4.49,3.82
TCS.NS,2025-06-29,⏳ Hold / No clear signal,50.16,-3.53,-2.91
RELIANCE.NS,2025-06-29,⏳ Hold / No clear signal,71.6,21.2,16.6
WIPRO.NS,2025-06-29,⏳ Hold / No clear signal,60.35,4.49,3.82
TCS.NS,2025-06-29,⏳ Hold / No clear signal,50.16,-3.53,-2.91
RELIANCE.NS,2025-06-29,⏳ Hold / No clear signal,71.6,21.2,16.6
WIPRO.NS,2025-06-29,⏳ Hold / No clear signal,60.35,4.49,3.82
TCS.NS,2025-06-29,⏳ Hold / No clear signal,50.16,-3.53,-2.91
RELIANCE.NS,2025-06-29,⏳ Hold / No clear signal,71.6,21.2,16.6
WIPRO.NS,2025-06-29,⏳ Hold / No clear signal,60.35,4.49,3.82
TCS.NS,2025-06-29,⏳ Hold / No clear signal,50.16,-3.53,-2.91
RELIANCE.NS,2025-06-29,⏳ Hold / No clear signal,71.6,21.2,16.6
WIPRO.NS,2025-06-29,⏳ Hold / No clear signal,60.35,4.49,3.82
TCS.NS,2025-06-29,⏳ Hold / No clear signal,50.16,-3.53,-2.91
RELIANCE.NS,2025-06-29,⏳ Hold / No clear signal,71.6,21.2,16.6
