Stock,Signal,Confidence,Date,Price,Ticker,RSI,MACD,Pattern,Insider,News,Risks,GenieSignal,GenieConfidence
WIPRO.NS,SELL,50,2025-07-17,261.05,,,,,,,,,
TCS.NS,SELL,40,2025-07-17,3221.0,,,,,,,,,
RELIANCE.NS,SELL,50,2025-07-17,1481.6,,,,,,,,,
WIPRO.NS,SELL,55,2025-07-17,261.6,,,,,,,,,
WIPRO.NS,SELL,40,2025-07-17,261.9,,,,,,,,,
TCS.NS,SELL,40,2025-07-17,3221.2,,,,,,,,,
RELIANCE.NS,SELL,50,2025-07-17,1480.8,,,,,,,,,
RELIANCE.NS,SELL,50,2025-07-17,1480.3,,,,,,,,,
TCS.NS,SELL,35,2025-07-17,3220.9,,,,,,,,,
RELIANCE.NS,SELL,40,2025-07-17,1479.0,,,,,,,,,
WIPRO.NS,SELL,55,2025-07-17,261.6,,,,,,,,,
ITC.NS,BUY,65,2025-07-18,420.65,,,,,,,,,
WIPRO.NS,SELL,50,2025-07-18,266.45,,,,,,,,,
WIPRO.NS,SELL,50,2025-07-18,266.4,,,,,,,,,
ITC.NS,BUY,60,2025-07-18,421.25,,,,,,,,,
ITC.NS,BUY,65,2025-07-18,421.15,,,,,,,,,
TCS.NS,SELL,45,2025-07-18,3193.7,,,,,,,,,
TCS.NS,SELL,45,2025-07-18,3194.8,,,,,,,,,
RELIANCE.NS,SELL,45,2025-07-18,1475.2,,,,,,,,,
RELIANCE.NS,SELL,50,2025-07-18,1475.3,,,,,,,,,
INFY.NS,SELL,50,2025-07-18,1583.8,,,,,,,,,
INFY.NS,SELL,45,2025-07-18,1583.9,,,,,,,,,
INFY.NS,SELL,50,2025-07-18,1585.8,,,,,,,,,
ITC.NS,BUY,70,2025-07-18,422.4,,,,,,,,,
WIPRO.NS,SELL,45,2025-07-18,266.65,,,,,,,,,
TCS.NS,SELL,40,2025-07-18,3195.0,,,,,,,,,
RELIANCE.NS,SELL,65,2025-07-18,1474.4,,,,,,,,,
ITC.NS,BUY,65,2025-07-18,422.25,,,,,,,,,
WIPRO.NS,SELL,45,2025-07-18,266.85,,,,,,,,,
WIPRO.NS,SELL,50,2025-07-18,266.85,,,,,,,,,
WIPRO.NS,SELL,55,2025-07-18,266.95,,,,,,,,,
ZEEL.NS,SELL,35,2025-07-18,141.58,,,,,,,,,
WIPRO.NS,SELL,50,2025-07-18,266.95,,,,,,,,,
WIPRO.NS,SELL,50,2025-07-18,266.95,,,,,,,,,
WIPRO.NS,SELL,50,2025-07-18,266.95,,,,,,,,,
WIPRO.NS,SELL,40,2025-07-18,266.95,,,,,,,,,
TCS.NS,SELL,40,2025-07-18,3189.9,,,,,,,,,
RELIANCE.NS,SELL,50,2025-07-18,1476.0,,,,,,,,,
WIPRO.NS,SELL,50,2025-07-18,266.95,,,,,,,,,
TCS.NS,SELL,40,2025-07-18,3189.9,,,,,,,,,
WIPRO.NS,SELL,45,2025-07-18,266.95,,,,,,,,,
WIPRO.NS,SELL,50,2025-07-18,266.95,,,,,,,,,
TCS.NS,SELL,40,2025-07-18,3189.9,,,,,,,,,
RELIANCE.NS,SELL,55,2025-07-18,1476.0,,,,,,,,,
WIPRO.NS,SELL,55,2025-07-18,266.95,,,,,,,,,
TCS.NS,SELL,40,2025-07-18,3189.9,,,,,,,,,
RELIANCE.NS,SELL,50,2025-07-18,1476.0,,,,,,,,,
ZEEL.NS,SELL,45,2025-07-18,141.58,,,,,,,,,
WIPRO.NS,SELL,50,2025-07-18,266.95,,,,,,,,,
WIPRO.NS,SELL,50,2025-07-18,266.95,,,,,,,,,
TCS.NS,SELL,40,2025-07-18,3189.9,,,,,,,,,
RELIANCE.NS,SELL,50,2025-07-18,1476.0,,,,,,,,,
WIPRO.NS,SELL,40,2025-07-18,266.95,,,,,,,,,
WIPRO.NS,SELL,50,2025-07-18,266.95,,,,,,,,,
WIPRO.NS,SELL,35,2025-07-18,266.95,,,,,,,,,
TCS.NS,SELL,45,2025-07-18,3189.9,,,,,,,,,
RELIANCE.NS,SELL,50,2025-07-18,1476.0,,,,,,,,,
WIPRO.NS,SELL,55,2025-07-18,266.95,,,,,,,,,
TCS.NS,SELL,25,2025-07-18,3189.9,,,,,,,,,
WIPRO.NS,SELL,50,2025-07-18,266.95,,,,,,,,,
WIPRO.NS,SELL,40,2025-07-18,266.95,,,,,,,,,
TCS.NS,SELL,40,2025-07-18,3189.9,,,,,,,,,
RELIANCE.NS,SELL,55,2025-07-18,1476.0,,,,,,,,,
WIPRO.NS,SELL,50,2025-07-18,266.95,,,,,,,,,
WIPRO.NS,SELL,50,2025-07-18,266.95,,,,,,,,,
TCS.NS,SELL,40,2025-07-18,3189.9,,,,,,,,,
RELIANCE.NS,SELL,35,2025-07-18,1476.0,,,,,,,,,
WIPRO.NS,SELL,50,2025-07-18,266.95,,,,,,,,,
TCS.NS,SELL,45,2025-07-18,3189.9,,,,,,,,,
RELIANCE.NS,SELL,55,2025-07-18,1476.0,,,,,,,,,
ITC.NS,BUY,65,2025-07-18,422.75,,,,,,,,,
WIPRO.NS,SELL,40,2025-07-18,266.95,,,,,,,,,
WIPRO.NS,SELL,50,2025-07-18,266.95,,,,,,,,,
TCS.NS,SELL,25,2025-07-18,3189.9,,,,,,,,,
RELIANCE.NS,SELL,45,2025-07-18,1476.0,,,,,,,,,
WIPRO.NS,SELL,55,2025-07-18,266.95,,,,,,,,,
TCS.NS,SELL,45,2025-07-18,3189.9,,,,,,,,,
RELIANCE.NS,SELL,50,2025-07-18,1476.0,,,,,,,,,
WIPRO.NS,SELL,55,2025-07-18,266.95,,,,,,,,,
TCS.NS,SELL,40,2025-07-18,3189.9,,,,,,,,,
RELIANCE.NS,SELL,50,2025-07-18,1476.0,,,,,,,,,
WIPRO.NS,SELL,50,2025-07-18,266.95,,,,,,,,,
TCS.NS,SELL,35,2025-07-18,3189.9,,,,,,,,,
RELIANCE.NS,SELL,50,2025-07-18,1476.0,,,,,,,,,
WIPRO.NS,SELL,35,2025-07-18,266.95,,,,,,,,,
TCS.NS,SELL,40,2025-07-18,3189.9,,,,,,,,,
RELIANCE.NS,SELL,50,2025-07-18,1476.0,,,,,,,,,
INFY.NS,SELL,45,2025-07-18,1586.1,,,,,,,,,
,SELL,40,,,WIPRO.NS,56.23,-0.84,,,,['Volatility: 0.0143'],,
,SELL,50,,,TCS.NS,27.27,-20.68,,,,['Volatility: 0.0101'],,
,SELL,40,,,RELIANCE.NS,47.79,-8.3,,,,['Volatility: 0.0086'],,
,SELL,40,,,INFY.NS,46.71,-6.2,,,,['Volatility: 0.0104'],,
,SELL,40,,,WIPRO.NS,56.23,-0.84,,,,No Risks,,
,SELL,40,,,TCS.NS,27.27,-20.68,,,,No Risks,,
,SELL,30,,,INFY.NS,46.71,-6.2,,,,No Risks,,
,SELL,45,,,RELIANCE.NS,47.79,-8.3,,,,No Risks,,
,SELL,45,,,INFY.NS,46.71,-6.2,,,,No Risks,,
,SELL,45,,,ZEEL.NS,52.58,-0.88,,,,No Risks,,
,SELL,50,,,WIPRO.NS,46.33,-0.98,,,,No Risks,,
,SELL,35,,,WIPRO.NS,46.33,-0.98,,,,No Risks,,
WIPRO.NS,SELL,40,2025-07-23,258.7,,,,,,,,,
WIPRO.NS,SELL,50,2025-07-23,258.75,,,,,,,,,
WIPRO.NS,SELL,50,2025-07-24,261.85,,,,,,,,,
WIPRO.NS,SELL,55,2025-07-24,261.85,,,,,,,,,
WIPRO.NS,SELL,50,2025-07-24,261.85,,,,,,,,,
WIPRO.NS,SELL,55,2025-07-24,261.85,,,,,,,,,
WIPRO.NS,SELL,45,2025-07-24,261.85,,,,,,,,,
WIPRO.NS,SELL,40,2025-07-24,261.85,,,,,,,,,
WIPRO.NS,SELL,55,2025-07-24,261.85,,,,,,,,,
WIPRO.NS,SELL,50,2025-07-24,261.85,,,,,,,,,
WIPRO.NS,SELL,55,2025-07-24,261.85,,,,,,,,,
WIPRO.NS,SELL,50,2025-07-24,261.85,,,,,,,,,
WIPRO.NS,SELL,50,2025-07-24,261.85,,,,,,,,,
TCS.NS,SELL,45,2025-07-24,3148.0,,,,,,,,,
WIPRO.NS,SELL,40,2025-07-24,261.85,,,,,,,,,
TCS.NS,SELL,40,2025-07-24,3148.0,,,,,,,,,
RELIANCE.NS,SELL,50,2025-07-24,1402.9,,,,,,,,,
WIPRO.NS,SELL,50,2025-07-24,261.85,,,,,,,,,
TCS.NS,SELL,35,2025-07-24,3148.0,,,,,,,,,
RELIANCE.NS,SELL,50,2025-07-24,1402.9,,,,,,,,,
WIPRO.NS,SELL,40,2025-07-24,261.85,,,,,,,,,
2025-07-24,WIPRO.NS,SELL,30,,,,,,,,,,
TCS.NS,SELL,45,2025-07-24,3148.0,,,,,,,,,
2025-07-24,TCS.NS,SELL,15,,,,,,,,,,
RELIANCE.NS,SELL,55,2025-07-24,1402.9,,,,,,,,,
2025-07-24,RELIANCE.NS,SELL,15,,,,,,,,,,
WIPRO.NS,SELL,40,2025-07-24,261.85,,,,,,,,,
2025-07-24,WIPRO.NS,SELL,30,,,,,,,,,,
TCS.NS,SELL,40,2025-07-24,3148.0,,,,,,,,,
2025-07-24,TCS.NS,SELL,15,,,,,,,,,,
RELIANCE.NS,SELL,50,2025-07-24,1402.9,,,,,,,,,
2025-07-24,RELIANCE.NS,SELL,15,,,,,,,,,,
,SELL,40,,,ZEEL.NS,38.14,-2.2,,,,No Risks,,
WIPRO.NS,SELL,50,2025-07-24,261.85,,,,,,,,,
WIPRO.NS,SELL,50,2025-07-24,261.85,,,,,,,,,
WIPRO.NS,SELL,50,2025-07-24,261.85,,,,,,,,,
,SELL,50,,,ITC.NS,37.08,-0.64,,,,No Risks,,
,SELL,30,,,ITC.NS,37.08,-0.64,,,,No Risks,,
,SELL,45,,,GEOJITFSL.NS,32.84,-0.85,,,,No Risks,,
WIPRO.NS,SELL,55,2025-07-24,261.85,,,,,,,,,
2025-07-24,WIPRO.NS,SELL,30,,,,,,,,,,
TCS.NS,SELL,30,2025-07-24,3148.0,,,,,,,,,
2025-07-24,TCS.NS,SELL,15,,,,,,,,,,
RELIANCE.NS,SELL,50,2025-07-24,1402.9,,,,,,,,,
2025-07-24,RELIANCE.NS,SELL,15,,,,,,,,,,
,SELL,50,,,ZEEL.NS,38.14,-2.2,,,,No Risks,,
WIPRO.NS,SELL,55,2025-07-24,261.85,,,,,,,,,
2025-07-24,WIPRO.NS,SELL,30,,,,,,,,,,
TCS.NS,SELL,40,2025-07-24,3148.0,,,,,,,,,
2025-07-24,TCS.NS,SELL,15,,,,,,,,,,
RELIANCE.NS,SELL,50,2025-07-24,1402.9,,,,,,,,,
2025-07-24,RELIANCE.NS,SELL,15,,,,,,,,,,
,SELL,45,,,CDSL.NS,27.37,-29.98,,,,No Risks,,
,SELL,35,,,ITC.NS,51.69,-0.42,,,,No Risks,,
